黑神话：悟空,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2358720/801e841a7975fc29967e30cf799084f4b2987b77/capsule_sm_120_schinese.jpg?t=1725007201,"[""win""]",2024 年 8 月 20 日,"好评如潮 此游戏的 653,236 篇用户评测中有 95% 为好评。",0,0,268.00,https://store.steampowered.com/app/2358720/_/?snr=1_7_7_230_150_1
Counter-Strike 2,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/730/capsule_sm_120_schinese.jpg?t=1719426374,"[""win"", ""linux""]",2012 年 8 月 22 日,"特别好评 此游戏的 8,312,895 篇用户评测中有 87% 为好评。",0,0,0,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_230_150_1
赛博朋克 2077,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1091500/capsule_sm_120_schinese.jpg?t=1726188854,"[""win""]",2020 年 12 月 10 日,"特别好评 此游戏的 680,061 篇用户评测中有 84% 为好评。  此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",50,298.0,149.00,https://store.steampowered.com/app/1091500/_2077/?snr=1_7_7_230_150_1
PUBG: BATTLEGROUNDS,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/578080/4f5bd6fbde8ef39aea742014f13ce91f567ca472/capsule_sm_120.jpg?t=1726725837,"[""win""]",2017 年 12 月 21 日,"褒贬不一 此游戏的 2,432,475 篇用户评测中有 58% 为好评。",0,0,0,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_230_150_1
《EA SPORTS FC™ 25》,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2669320/capsule_sm_120.jpg?t=1724359060,"[""win""]",2024 年 9 月 27 日,"褒贬不一 此游戏的 2,242 篇用户评测中有 49% 为好评。",0,0,248.00,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/?snr=1_7_7_230_150_1
艾尔登法环,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1245620/capsule_sm_120.jpg?t=1726158298,"[""win""]",2022 年 2 月 25 日,"特别好评 此游戏的 705,023 篇用户评测中有 92% 为好评。",70,298.0,208.60,https://store.steampowered.com/app/1245620/_/?snr=1_7_7_230_150_1
冰汽时代2,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1601580/cbbcef0a73599e6bf1cc232ff6fc9cf105fb3db8/capsule_sm_120_alt_assets_2.jpg?t=1726851655,"[""win"", ""mac""]",2024 年 9 月 21 日,"多半好评 此游戏的 4,285 篇用户评测中有 71% 为好评。",0,0,149.00,https://store.steampowered.com/app/1601580/2/?snr=1_7_7_230_150_1
永劫无间,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1203220/3d0256d77fc5d21fc4412eed31b887d8379f7a68/capsule_sm_120_schinese.jpg?t=1726298820,"[""win""]",2021 年 8 月 12 日,"多半好评 此游戏的 253,173 篇用户评测中有 75% 为好评。  此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",0,0,0,https://store.steampowered.com/app/1203220/_/?snr=1_7_7_230_150_1
NBA 2K25,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2878980/capsule_sm_120.jpg?t=1726472665,"[""win""]",2024 年 9 月 4 日,"褒贬不一 此游戏的 3,992 篇用户评测中有 57% 为好评。",0,0,298.00,https://store.steampowered.com/app/2878980/NBA_2K25/?snr=1_7_7_230_150_1
Apex Legends™,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1172470/capsule_sm_120.jpg?t=1726164032,"[""win""]",2020 年 11 月 5 日,"褒贬不一 此游戏的 948,678 篇用户评测中有 68% 为好评。",0,0,0,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_230_150_1
